Time,W,A,C,S,Temperature
1.060000,0.001890,0.000633,2.343577,0.000562,29.344209
1.070000,0.001892,0.000633,2.342633,0.000557,29.347545
1.080000,0.001894,0.000633,2.341689,0.000552,29.350875
1.090000,0.001895,0.000634,2.340746,0.000547,29.354197
1.100000,0.001897,0.000634,2.339805,0.000542,29.357512
1.110000,0.001899,0.000634,2.338864,0.000537,29.360819
1.120000,0.001901,0.000635,2.337925,0.000532,29.364119
1.130000,0.001903,0.000635,2.336987,0.000527,29.367411
1.140000,0.001905,0.000635,2.336049,0.000522,29.370696
1.150000,0.001907,0.000635,2.335113,0.000518,29.373972
1.160000,0.001909,0.000636,2.334178,0.000513,29.377241
1.170000,0.001911,0.000636,2.333243,0.000508,29.380503
1.180000,0.001913,0.000636,2.332310,0.000503,29.383756
1.190000,0.001915,0.000637,2.331378,0.000499,29.387001
1.200000,0.001916,0.000637,2.330447,0.000494,29.390239
1.210000,0.001918,0.000637,2.329517,0.000490,29.393468
1.220000,0.001920,0.000638,2.328587,0.000485,29.396689
1.230000,0.001922,0.000638,2.327659,0.000481,29.399902
1.240000,0.001924,0.000638,2.326732,0.000476,29.403107
1.250000,0.001926,0.000639,2.325806,0.000472,29.406304
1.260000,0.001928,0.000639,2.324881,0.000468,29.409492
1.270000,0.001930,0.000639,2.323957,0.000463,29.412672
1.280000,0.001932,0.000640,2.323034,0.000459,29.415843
1.290000,0.001934,0.000640,2.322112,0.000455,29.419006
1.300000,0.001936,0.000640,2.321191,0.000451,29.422160
1.310000,0.001938,0.000641,2.320271,0.000446,29.425306
1.320000,0.001940,0.000641,2.319352,0.000442,29.428443
1.330000,0.001941,0.000641,2.318434,0.000438,29.431571
1.340000,0.001943,0.000642,2.317517,0.000434,29.434690
1.350000,0.001945,0.000642,2.316601,0.000430,29.437801
1.360000,0.001947,0.000642,2.315686,0.000426,29.440903
1.370000,0.001949,0.000643,2.314772,0.000422,29.443995
1.380000,0.001951,0.000643,2.313859,0.000419,29.447079
1.390000,0.001953,0.000643,2.312947,0.000415,29.450154
1.400000,0.001955,0.000643,2.312036,0.000411,29.453219
1.410000,0.001957,0.000644,2.311126,0.000407,29.456275
1.420000,0.001959,0.000644,2.310217,0.000403,29.459323
1.430000,0.001961,0.000644,2.309308,0.000400,29.462360
1.440000,0.001963,0.000645,2.308401,0.000396,29.465389
1.450000,0.001965,0.000645,2.307495,0.000392,29.468408
